bug_id,"bug_severity","priority","op_sys","assigned_to","bug_status","resolution","short_desc"
25,"critical","---","Windows","surbhi_4113@gmail.com","NEW","---","Place Order Button is clickable properly without any product"
26,"enhancement","---","Windows","surbhi_4113@gmail.com","NEW","---","Cart shows the product but for show product is taking more time"
27,"normal","---","Windows","surbhi_4113@gmail.com","NEW","---","Price unit is missing in Cart Products"
28,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","Quantity is not increased here"
29,"minor","---","Windows","surbhi_4113@gmail.com","NEW","---","option is not visible"
30,"normal","---","Windows","surbhi_4113@gmail.com","NEW","---","it's deleted but it's taking more time"
31,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","there is only 2 fields like login"
32,"critical","---","Windows","surbhi_4113@gmail.com","NEW","---","It's not working"
33,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","it shows error password and username both are empty"
34,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","it shows error username and password both are empty"
35,"critical","---","Windows","surbhi_4113@gmail.com","NEW","---","data is saved without refresh that is not correct"
36,"minor","---","Windows","surbhi_4113@gmail.com","NEW","---","Login With keyboard event is not working"
37,"critical","---","Windows","surbhi_4113@gmail.com","NEW","---","Response time is poor while we are login"
38,"normal","---","Windows","surbhi_4113@gmail.com","NEW","---","it shows error password and username both are empty"
39,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","it shows error username and password both are empty"
40,"minor","---","Windows","surbhi_4113@gmail.com","NEW","---","There is hover effect anc clickable option but it's not working"
41,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","it redirects on previous page without login"
42,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","View Alignments are changed"
43,"critical","---","Windows","surbhi_4113@gmail.com","NEW","---","Cart Option does not open proper page and alignment is also changed that is not proper"
44,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","price does not have a unit"
45,"critical","---","Windows","surbhi_4113@gmail.com","NEW","---","item is deleted but it takes more time"
46,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","When i Open Cart Total is proper but price unit is missing"
47,"critical","---","Windows","surbhi_4113@gmail.com","NEW","---","Empty validations are in only 2 fields which are name and credit card"
48,"trivial","---","Windows","surbhi_4113@gmail.com","NEW","---","Their is no adress option in place order dialog"
49,"trivial","---","Windows","surbhi_4113@gmail.com","NEW","---","Their is no maximum character limit in name field"
50,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","Their is no drop down menu in country field"
51,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","Their is no drop down menu in city field"
52,"critical","---","Windows","surbhi_4113@gmail.com","NEW","---","credit card does not have any validations"
53,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","it shows for type month"
54,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","it shows for type year"
55,"normal","---","Windows","surbhi_4113@gmail.com","NEW","---","data is saved without refresh that is not correct"
56,"critical","---","Windows","surbhi_4113@gmail.com","NEW","---","it redirects on previous page without login"
57,"major","---","Windows","surbhi_4113@gmail.com","NEW","---","Bill is shows previous month date"
58,"minor","---","Windows","surbhi_4113@gmail.com","NEW","---","Product image indicators are not working but details are correct"
59,"critical","---","Windows","surbhi_4113@gmail.com","NEW","---","It's taking more time for loading till that time page should be empty"
